model_name,video,batch_size,total_frames,gpu_compute_sec,throughput_fps,peak_gpu_gb,end_to_end_sec,rtf
dinov3_l,1878_ar0bfl37bkbxv.mp4,16,130,2.6,50.1,1.28,5.33,0.2049
dinov3_l,1882_a39g180kx6oj8.mp4,16,130,2.6,50.0,1.28,5.32,0.2047
dinov3_l,1882_a7qozl021jwuq.mp4,16,130,2.63,49.5,1.28,5.45,0.2094
dinov3_l,1888_aqtgkf39n04z8.mp4,16,130,2.63,49.5,1.28,5.34,0.2055
dinov3_l,1892_aw7bemxqghj3l.mp4,16,130,2.6,49.9,1.28,5.31,0.2042
dinov3_l,1899_a7zrg7jwpux6a.mp4,16,80,1.59,50.2,1.28,3.21,0.2007
dinov3_l,1900_aevtzbkh7fss5.mp4,16,130,2.62,49.5,1.28,5.36,0.2061
dinov3_l,1901_amp9b6qc9hwpj.mp4,16,130,2.64,49.2,1.28,5.44,0.2094
dinov3_l,1902_a39ztm4o3824v.mp4,16,130,2.61,49.7,1.28,5.38,0.207
dinov3_l,1908_arhzkwe3wsbr1.mp4,16,130,2.59,50.1,1.28,5.32,0.2048
dinov3_l,1912_a27usp0aaz4o1.mp4,16,130,2.61,49.9,1.28,5.31,0.2044
dinov3_l,1915_aoui433sscrt2.mp4,16,130,2.62,49.6,1.28,5.41,0.2079
dinov3_l,1936_avr6bfqb670mo.mp4,16,141,2.82,50.0,1.28,6.05,0.2159
dinov3_l,1951_a6iskjv7fc0cf.mp4,16,130,2.59,50.2,1.28,5.23,0.201
dinov3_l,1956_ah0lkokje5dgq.mp4,16,130,2.64,49.3,1.28,5.4,0.2076
dinov3_l,1959_amfsz75wfd47z.mp4,16,130,2.62,49.7,1.28,5.38,0.207
dinov3_l,1959_arh0h7tsjh69c.mp4,16,130,2.64,49.2,1.28,5.39,0.2071
dinov3_l,1962_a6kcrd3r8ovs.mp4,16,130,2.6,50.1,1.28,5.36,0.2061
dinov3_l,1968_agc6a87zu9ii1.mp4,16,70,1.39,50.3,1.28,2.81,0.201
dinov3_l,1971_a72jfc3o0vilq.mp4,16,90,1.8,50.1,1.28,3.7,0.2054
dinov3_l,1971_ajko3hrniehry.mp4,16,70,1.41,49.5,1.28,2.91,0.2078
dinov3_l,1975_axao1rs21074.mp4,16,130,2.63,49.3,1.28,5.46,0.2102
dinov3_l,3178_afjd2iijfixhq.mp4,16,130,2.6,50.0,1.28,5.29,0.2036
dinov3_l,3179_a3w7v7u7y9j5t.mp4,16,130,2.61,49.8,1.28,5.35,0.2058
dinov3_l,3181_agkzjzgidsgd2.mp4,16,130,2.6,50.0,1.28,5.42,0.2086
dinov3_l,3181_agvu1d4f8ybf3.mp4,16,130,2.63,49.5,1.28,5.49,0.2111
dinov3_l,3181_ai7va3ad6bd4.mp4,16,130,2.59,50.2,1.28,5.33,0.2049
dinov3_l,3182_a4e1x780qjfad.mp4,16,130,2.61,49.7,1.28,5.33,0.2048
dinov3_l,3182_a4vdmqg3cwuyn.mp4,16,130,2.62,49.7,1.28,5.39,0.2073
dinov3_l,3182_alwpvyglyxotd.mp4,16,130,2.62,49.5,1.28,5.41,0.2082
vjepa2_l,1738_avxeiaxxw6ocr.mp4,1x16,120,18.03,6.7,0.68,21.03,0.8763
vjepa2_l,1738_aw3kercrl5skd.mp4,1x16,100,12.42,8.0,0.68,14.74,0.7368
vjepa2_l,1741_al7xhsug05yz8.mp4,1x16,130,17.72,7.3,0.68,20.8,0.8
vjepa2_l,1742_ab2m9r2lve8xx.mp4,1x16,70,9.22,7.6,0.68,10.94,0.7811
vjepa2_l,1742_aquyhla4h9s65.mp4,1x16,70,8.93,7.8,0.68,10.64,0.76
vjepa2_l,1744_ai0bkwrj1o6d3.mp4,1x16,90,11.19,8.0,0.68,13.28,0.7377
vjepa2_l,1744_akerrmzngvusj.mp4,1x16,110,14.88,7.4,0.68,17.49,0.795
vjepa2_l,1746_a4p0ktbx5sbxq.mp4,1x16,130,18.21,7.1,0.68,21.44,0.8248
vjepa2_l,1747_aas7m6x9khzm6.mp4,1x16,130,17.87,7.3,0.68,21.15,0.8136
vjepa2_l,1751_agfexmjrgga80.mp4,1x16,130,17.56,7.4,0.68,20.77,0.799
vjepa2_l,1752_abu41w8te4nzl.mp4,1x16,130,18.03,7.2,0.68,21.27,0.8181
vjepa2_l,1752_ansv9ptu5va8b.mp4,1x16,130,18.12,7.2,0.68,21.3,0.8193
vjepa2_l,1755_aibf0piq4lq43.mp4,1x16,130,18.14,7.2,0.68,21.47,0.8258
